CustomerID,CustomerEmail,Country,Membership,SignUpDate,LastOrderDate,TotalSpent,Customer Communication Log
27,dealhunter8922@bestdeals.com,Australia,VIP,2022-01-27 00:00:00,2023-01-27 00:00:00,2600.764067,2022-10-04: Inquiry about product availability; 2022-12-19: Complaint about product availability; 2022-02-23: Inquiry about membership benefits
28,marketfan7609@buyeasy.com,Canada,Standard,2022-01-28 00:00:00,2023-01-28 00:00:00,6435.258074,2022-08-09: Request about delayed delivery; 2022-11-20: Request regarding order status; 2022-04-02: Request about payment issues
29,shopper672@shopworld.com,Germany,Standard,2022-01-29 00:00:00,2023-01-29 00:00:00,747.8981576,2022-12-01: Request for more information on a product
30,buyer5710@buyeasy.com,USA,Premium,2022-01-30 00:00:00,2023-01-30 00:00:00,6375.611684,2022-10-30: Complaint about membership benefits; 2022-02-05: Complaint for more information on a product; 2022-10-18: Feedback about membership benefits
31,dealhunter9376@eshop.com,Germany,Premium,2022-01-31 00:00:00,2023-01-31 00:00:00,3263.305282,2022-08-13: Complaint about payment issues
32,buyer7457@shopworld.com,Australia,VIP,2022-02-01 00:00:00,2023-02-01 00:00:00,1422.219883,2022-09-20: Request about payment issues; 2022-03-29: Complaint regarding order status; 2022-04-06: Feedback about product availability
33,buyer205@buyeasy.com,USA,VIP,2022-02-02 00:00:00,2023-02-02 00:00:00,1065.234793,2022-01-17: Complaint regarding order status
34,dealhunter5776@eshop.com,USA,VIP,2022-02-03 00:00:00,2023-02-03 00:00:00,3482.711438,2022-12-31: Request for more information on a product
35,shopper3622@eshop.com,Canada,Premium,2022-02-04 00:00:00,2023-02-04 00:00:00,9240.230178,2022-07-21: Complaint about payment issues; 2022-09-16: Feedback regarding order status; 2022-03-12: Feedback about payment issues
36,buyer9672@buyeasy.com,Germany,Premium,2022-02-05 00:00:00,2023-02-05 00:00:00,1730.993655,2022-04-08: Request regarding order status
37,shopper5430@bestdeals.com,USA,Premium,2022-02-06 00:00:00,2023-02-06 00:00:00,4832.579568,2023-01-01: Request about delayed delivery
38,shopper4751@shopworld.com,Canada,Standard,2022-02-07 00:00:00,2023-02-07 00:00:00,585.9463112,2022-12-04: Request about membership benefits
39,marketfan9276@buyeasy.com,Canada,Standard,2022-02-08 00:00:00,2023-02-08 00:00:00,5912.699692,2022-12-09: Feedback regarding order status
40,buyer5813@bestdeals.com,Australia,VIP,2022-02-09 00:00:00,2023-02-09 00:00:00,614.6007259,2022-05-07: Request regarding order status; 2022-12-14: Request for more information on a product; 2022-07-26: Feedback about payment issues
41,shopper1176@eshop.com,Australia,Premium,2022-02-10 00:00:00,2023-02-10 00:00:00,1866.790509,2022-08-27: Inquiry regarding order status
42,shopper7138@bestdeals.com,Australia,VIP,2022-02-11 00:00:00,2023-02-11 00:00:00,6741.511299,2022-08-04: Feedback about membership benefits; 2022-06-08: Inquiry about membership benefits
43,dealhunter12@shopworld.com,Canada,VIP,2022-02-12 00:00:00,2023-02-12 00:00:00,2015.168285,2022-06-12: Request regarding order status; 2022-05-22: Inquiry about membership benefits; 2022-09-16: Complaint about product availability
44,dealhunter380@buyeasy.com,USA,VIP,2022-02-13 00:00:00,2023-02-13 00:00:00,5827.148961,2022-02-10: Complaint about membership benefits
45,invalid_email,UK,Premium,2022-02-14 00:00:00,2023-02-14 00:00:00,7114.788839,2022-05-17: Request about product availability
46,buyer5965@shopworld.com,UK,Premium,2022-02-15 00:00:00,2023-02-15 00:00:00,9744.739741,2022-08-19: Feedback about product availability; 2022-07-28: Inquiry for more information on a product; 2022-07-19: Complaint about payment issues
47,buyer9370@eshop.com,Germany,Premium,2022-02-16 00:00:00,2023-02-16 00:00:00,9977.978795,2022-01-06: Feedback about product availability
48,marketfan4841@shopworld.com,Canada,VIP,2022-02-17 00:00:00,2023-02-17 00:00:00,1560.268178,2022-06-17: Feedback for more information on a product
49,dealhunter342@eshop.com,Canada,Standard,2022-02-18 00:00:00,2023-02-18 00:00:00,6888.574277,2022-02-04: Complaint about product availability; 2022-12-29: Inquiry about delayed delivery; 2022-06-22: Complaint about payment issues
50,buyer1061@shopworld.com,USA,VIP,2022-02-19 00:00:00,2023-02-19 00:00:00,111.6068931,2022-03-16: Inquiry about product availability; 2022-05-08: Complaint about payment issues; 2022-04-13: Feedback for more information on a product
51,dealhunter9774@shopworld.com,Germany,VIP,2022-02-20 00:00:00,2023-02-20 00:00:00,-999,2022-04-15: Request about payment issues
52,dealhunter6564@buyeasy.com,Australia,VIP,2022-02-21 00:00:00,2023-02-21 00:00:00,4525.711169,2022-07-08: Inquiry for more information on a product; 2022-11-25: Complaint about membership benefits
53,buyer519@eshop.com,USA,VIP,2022-02-22 00:00:00,2023-02-22 00:00:00,2669.843044,2022-01-08: Complaint about membership benefits; 2022-05-15: Inquiry about payment issues; 2022-02-21: Request for more information on a product
54,marketfan6538@eshop.com,Australia,Standard,2022-02-23 00:00:00,2023-02-23 00:00:00,472.2932736,2022-05-11: Request about membership benefits
55,marketfan8977@eshop.com,Germany,VIP,2022-02-24 00:00:00,2023-02-24 00:00:00,2166.708364,2022-12-25: Inquiry about delayed delivery
56,buyer6848@shopworld.com,Canada,VIP,2022-02-25 00:00:00,2023-02-25 00:00:00,6298.669051,2022-08-10: Complaint about delayed delivery
57,marketfan1204@eshop.com,Canada,Standard,2022-02-26 00:00:00,2023-02-26 00:00:00,9477.0816,2022-08-05: Inquiry for more information on a product
58,marketfan4753@bestdeals.com,Germany,VIP,2022-02-27 00:00:00,2023-02-27 00:00:00,5781.924106,2022-09-18: Inquiry about delayed delivery; 2022-01-04: Inquiry for more information on a product
59,marketfan9921@shopworld.com,UK,VIP,2022-02-28 00:00:00,2023-02-28 00:00:00,6756.311683,2022-12-26: Feedback about payment issues; 2022-08-10: Request about delayed delivery; 2022-04-28: Inquiry about product availability
60,buyer7672@buyeasy.com,UK,Standard,2022-03-01 00:00:00,2023-03-01 00:00:00,2578.992916,2022-08-16: Inquiry regarding order status; 2022-09-02: Inquiry regarding order status; 2022-10-16: Complaint about membership benefits
61,dealhunter4670@buyeasy.com,UK,VIP,2022-03-02 00:00:00,2023-03-02 00:00:00,3341.855694,2022-03-17: Complaint regarding order status
62,marketfan1449@bestdeals.com,Canada,Standard,2022-03-03 00:00:00,2023-03-03 00:00:00,5999.761533,2022-05-13: Request about product availability
63,marketfan2535@shopworld.com,Canada,Premium,2022-03-04 00:00:00,2023-03-04 00:00:00,9353.608906,2022-03-23: Request regarding order status
64,shopper4639@buyeasy.com,USA,Standard,2022-03-05 00:00:00,2023-03-05 00:00:00,8272.957611,2022-03-02: Feedback regarding order status; 2022-12-12: Inquiry for more information on a product; 2022-08-25: Request about delayed delivery
65,buyer4161@buyeasy.com,Germany,Premium,2022-03-06 00:00:00,2023-03-06 00:00:00,964.0603051,2022-04-02: Inquiry about membership benefits; 2022-07-30: Inquiry for more information on a product
66,dealhunter5716@eshop.com,Germany,VIP,2022-03-07 00:00:00,2023-03-07 00:00:00,7923.835809,2022-06-13: Feedback about payment issues; 2022-07-14: Request for more information on a product
67,marketfan8915@eshop.com,USA,Premium,2022-03-08 00:00:00,2023-03-08 00:00:00,908.2784923,2022-03-26: Inquiry about membership benefits; 2022-11-27: Complaint regarding order status; 2022-05-22: Request about product availability
68,marketfan8327@buyeasy.com,UK,Premium,2022-03-09 00:00:00,2023-03-09 00:00:00,4849.654318,2022-12-21: Complaint about membership benefits
69,dealhunter1643@eshop.com,UK,Standard,2022-03-10 00:00:00,2023-03-10 00:00:00,7846.22107,2022-07-30: Inquiry about membership benefits
70,dealhunter9086@buyeasy.com,Canada,Standard,2022-03-11 00:00:00,2023-03-11 00:00:00,499.0035638,2022-12-22: Request regarding order status
71,buyer9504@buyeasy.com,Germany,Standard,2022-03-12 00:00:00,2023-03-12 00:00:00,-999,2022-11-08: Complaint about membership benefits; 2022-05-20: Feedback about membership benefits; 2022-05-15: Request regarding order status
72,dealhunter6001@shopworld.com,Canada,Standard,2022-03-13 00:00:00,2023-03-13 00:00:00,7735.068115,2022-09-01: Inquiry about delayed delivery; 2022-08-14: Inquiry regarding order status
73,buyer3488@bestdeals.com,Germany,VIP,2022-03-14 00:00:00,2023-03-14 00:00:00,3134.349207,2022-09-22: Complaint about delayed delivery; 2022-09-04: Request regarding order status; 2022-03-06: Request regarding order status
74,dealhunter4636@buyeasy.com,Australia,VIP,2022-03-15 00:00:00,2023-03-15 00:00:00,848.8010474,2022-09-21: Complaint regarding order status
75,marketfan7670@eshop.com,Germany,VIP,2022-03-16 00:00:00,2023-03-16 00:00:00,7900.443167,2022-07-12: Inquiry about delayed delivery; 2022-01-21: Feedback about payment issues; 2022-07-26: Feedback for more information on a product
76,shopper8452@buyeasy.com,Germany,VIP,2022-03-17 00:00:00,2023-03-17 00:00:00,9397.99794,2022-11-26: Request about membership benefits; 2022-02-27: Request for more information on a product; 2022-04-27: Request for more information on a product
77,marketfan1487@eshop.com,USA,VIP,2022-03-18 00:00:00,2023-03-18 00:00:00,1499.703943,2022-09-07: Request for more information on a product; 2022-09-19: Feedback about payment issues
78,buyer138@shopworld.com,Germany,Premium,2022-03-19 00:00:00,2023-03-19 00:00:00,5142.51368,2022-08-04: Request about membership benefits
79,dealhunter6754@eshop.com,Australia,Standard,2022-03-20 00:00:00,2023-03-20 00:00:00,1820.925644,2022-08-23: Feedback for more information on a product; 2022-04-08: Inquiry about product availability; 2022-02-10: Request regarding order status
80,buyer7694@bestdeals.com,Germany,VIP,2022-03-21 00:00:00,2023-03-21 00:00:00,9029.476067,2022-04-03: Complaint about payment issues; 2022-04-19: Request regarding order status; 2022-09-05: Inquiry about delayed delivery
81,dealhunter7394@eshop.com,UK,Standard,2022-03-22 00:00:00,2023-03-22 00:00:00,5877.554048,2022-05-26: Feedback about membership benefits
82,marketfan2320@eshop.com,Australia,Premium,2022-03-23 00:00:00,2023-03-23 00:00:00,1310.662828,2022-08-11: Feedback about membership benefits
83,buyer8242@buyeasy.com,Australia,Premium,2022-03-24 00:00:00,2023-03-24 00:00:00,852.1558486,2022-07-08: Inquiry regarding order status; 2022-08-23: Request about product availability
84,buyer3669@eshop.com,USA,Premium,2022-03-25 00:00:00,2023-03-25 00:00:00,3020.232322,2022-12-27: Request about payment issues; 2022-02-12: Feedback about payment issues; 2022-10-13: Request about product availability
85,shopper3694@buyeasy.com,Canada,Premium,2022-03-26 00:00:00,2023-03-26 00:00:00,4875.878711,2022-06-27: Feedback for more information on a product; 2022-06-17: Feedback about payment issues; 2022-02-06: Inquiry for more information on a product
86,marketfan1073@eshop.com,Australia,Premium,2022-03-27 00:00:00,2023-03-27 00:00:00,7665.502936,2022-06-28: Request regarding order status; 2022-10-30: Complaint about payment issues; 2022-07-23: Feedback regarding order status
87,marketfan5503@buyeasy.com,Canada,Premium,2022-03-28 00:00:00,2023-03-28 00:00:00,6490.272805,2022-10-16: Request about delayed delivery; 2022-04-02: Request for more information on a product; 2022-06-10: Feedback about payment issues
88,dealhunter9599@buyeasy.com,Germany,VIP,2022-03-29 00:00:00,2023-03-29 00:00:00,3521.531267,2022-07-28: Feedback for more information on a product
89,marketfan2750@shopworld.com,Australia,Standard,2022-03-30 00:00:00,2023-03-30 00:00:00,8759.714135,2022-12-25: Complaint about payment issues; 2022-03-05: Complaint about product availability
90,shopper9039@shopworld.com,Canada,Standard,2022-03-31 00:00:00,2023-03-31 00:00:00,1887.817468,2022-03-24: Request about product availability; 2022-03-06: Inquiry regarding order status; 2022-12-30: Inquiry about product availability
91,shopper3988@buyeasy.com,USA,VIP,2022-04-01 00:00:00,2023-04-01 00:00:00,3077.064228,2022-05-06: Complaint regarding order status
92,marketfan2737@bestdeals.com,UK,Standard,2022-04-02 00:00:00,2023-04-02 00:00:00,2636.02975,2022-11-24: Request about payment issues
93,buyer6721@shopworld.com,UK,VIP,2022-04-03 00:00:00,2023-04-03 00:00:00,2278.405176,2022-03-09: Complaint about membership benefits; 2022-01-23: Complaint for more information on a product
94,marketfan3966@eshop.com,USA,VIP,2022-04-04 00:00:00,2023-04-04 00:00:00,5894.746327,2022-09-24: Request about product availability; 2022-11-26: Feedback about payment issues
95,buyer2893@shopworld.com,USA,Premium,2022-04-05 00:00:00,2023-04-05 00:00:00,3596.977865,2022-08-26: Complaint about payment issues
96,marketfan187@buyeasy.com,Australia,Standard,2022-04-06 00:00:00,2023-04-06 00:00:00,3160.10316,2022-11-16: Inquiry about membership benefits
97,shopper4031@bestdeals.com,Australia,Premium,2022-04-07 00:00:00,2023-04-07 00:00:00,1154.040576,2022-01-02: Inquiry regarding order status; 2022-04-21: Feedback about delayed delivery
98,dealhunter6345@bestdeals.com,Australia,Standard,2022-04-08 00:00:00,2023-04-08 00:00:00,2353.934337,2022-01-11: Inquiry about payment issues; 2022-01-23: Inquiry about membership benefits
99,shopper6398@eshop.com,Australia,Standard,2022-04-09 00:00:00,2023-04-09 00:00:00,9817.024601,2022-10-30: Request about membership benefits; 2022-01-19: Inquiry regarding order status; 2022-05-22: Feedback about product availability
100,dealhunter3562@bestdeals.com,Germany,Standard,2022-04-10 00:00:00,2023-04-10 00:00:00,8422.132424,2022-09-11: Feedback about delayed delivery; 2022-12-26: Feedback about product availability
101,dealhunter2971@buyeasy.com,Australia,Premium,2022-04-11 00:00:00,2023-04-11 00:00:00,7575.632364,2022-11-27: Feedback about delayed delivery; 2022-01-26: Inquiry about product availability; 2022-05-16: Complaint for more information on a product
102,shopper9898@bestdeals.com,Australia,VIP,2022-04-12 00:00:00,2023-04-12 00:00:00,8017.303105,2022-04-04: Complaint regarding order status; 2022-06-19: Complaint about product availability
103,marketfan154@bestdeals.com,Germany,Premium,2022-04-13 00:00:00,2023-04-13 00:00:00,1711.609676,2022-03-03: Complaint for more information on a product; 2022-11-01: Feedback about membership benefits; 2022-10-01: Inquiry for more information on a product
104,shopper2390@eshop.com,UK,Premium,2022-04-14 00:00:00,2023-04-14 00:00:00,8219.857238,2022-08-18: Request about product availability; 2022-12-29: Request about payment issues; 2022-09-10: Complaint about delayed delivery
105,marketfan5140@bestdeals.com,UK,VIP,2022-04-15 00:00:00,2023-04-15 00:00:00,153.8187368,2022-05-19: Feedback about payment issues; 2022-09-29: Feedback about membership benefits
106,dealhunter6388@buyeasy.com,Germany,Standard,2022-04-16 00:00:00,2023-04-16 00:00:00,1894.217516,2022-12-08: Complaint about delayed delivery
107,shopper2882@buyeasy.com,UK,VIP,2022-04-17 00:00:00,2023-04-17 00:00:00,5000.833968,2022-05-13: Inquiry about product availability
108,dealhunter8427@shopworld.com,USA,Standard,2022-04-18 00:00:00,2023-04-18 00:00:00,9849.235367,2022-10-23: Inquiry about product availability; 2022-08-12: Request about product availability
109,buyer9079@shopworld.com,USA,Premium,2022-04-19 00:00:00,2023-04-19 00:00:00,3325.931746,2022-07-08: Request about delayed delivery; 2022-12-23: Request about product availability; 2022-02-01: Request about product availability
110,marketfan1090@buyeasy.com,Germany,Standard,2022-04-20 00:00:00,2023-04-20 00:00:00,4751.354255,2022-10-01: Complaint about delayed delivery; 2022-11-21: Complaint regarding order status
111,dealhunter7043@eshop.com,Germany,VIP,2022-04-21 00:00:00,2023-04-21 00:00:00,1150.262431,2022-09-05: Complaint about delayed delivery; 2022-10-30: Inquiry about membership benefits
112,shopper7413@shopworld.com,UK,VIP,2022-04-22 00:00:00,2023-04-22 00:00:00,6864.742701,2022-01-23: Feedback about membership benefits; 2022-04-09: Inquiry regarding order status; 2022-12-13: Feedback regarding order status
113,dealhunter8409@shopworld.com,Canada,Standard,2022-04-23 00:00:00,2023-04-23 00:00:00,4700.533425,2022-09-01: Inquiry about delayed delivery; 2022-07-22: Inquiry about payment issues
114,shopper3395@eshop.com,USA,Premium,2022-04-24 00:00:00,2023-04-24 00:00:00,7868.59489,2022-01-17: Complaint about product availability
115,buyer9128@buyeasy.com,Canada,Standard,2022-04-25 00:00:00,2023-04-25 00:00:00,2071.888898,2022-12-08: Feedback about delayed delivery; 2022-05-10: Request about product availability; 2022-02-18: Complaint regarding order status
116,buyer9302@eshop.com,Australia,Standard,2022-04-26 00:00:00,2023-04-26 00:00:00,8580.205957,2022-09-11: Feedback about membership benefits
117,buyer2341@eshop.com,UK,Premium,2022-04-27 00:00:00,2023-04-27 00:00:00,544.240647,2022-01-16: Inquiry about delayed delivery; 2022-05-17: Inquiry about membership benefits
118,shopper2528@buyeasy.com,Germany,VIP,2022-04-28 00:00:00,2023-04-28 00:00:00,4016.607841,2022-04-30: Request about membership benefits; 2022-08-24: Inquiry about product availability; 2022-09-02: Feedback regarding order status
119,buyer3477@shopworld.com,USA,Standard,2022-04-29 00:00:00,2023-04-29 00:00:00,7599.941993,2022-09-11: Feedback regarding order status
120,marketfan136@buyeasy.com,Germany,Standard,2022-04-30 00:00:00,2023-04-30 00:00:00,6027.790991,2022-11-16: Request for more information on a product
121,marketfan727@eshop.com,Australia,VIP,2022-05-01 00:00:00,2023-05-01 00:00:00,2420.868088,2022-01-24: Feedback about payment issues; 2022-10-25: Complaint about product availability
122,buyer9816@eshop.com,Australia,Standard,2022-05-02 00:00:00,2023-05-02 00:00:00,1939.040446,2022-09-06: Feedback about payment issues; 2022-03-24: Complaint for more information on a product
123,marketfan8383@buyeasy.com,Germany,VIP,2022-05-03 00:00:00,2023-05-03 00:00:00,9982.863714,2022-05-13: Feedback about delayed delivery
124,buyer2942@shopworld.com,Canada,Standard,2022-05-04 00:00:00,2023-05-04 00:00:00,2043.129299,2022-03-16: Inquiry about membership benefits; 2022-11-04: Feedback about product availability; 2022-09-04: Complaint for more information on a product
125,marketfan1748@buyeasy.com,Australia,Premium,2022-05-05 00:00:00,2023-05-05 00:00:00,9615.356831,2022-11-20: Request about product availability
126,dealhunter2041@bestdeals.com,Canada,VIP,2022-05-06 00:00:00,2023-05-06 00:00:00,5226.373241,2022-08-29: Complaint for more information on a product; 2022-01-27: Feedback about product availability
127,dealhunter8954@buyeasy.com,UK,Standard,2022-05-07 00:00:00,2023-05-07 00:00:00,9283.546609,2022-06-16: Request about membership benefits; 2022-08-24: Feedback about membership benefits; 2022-08-28: Feedback for more information on a product
128,dealhunter9992@bestdeals.com,Canada,VIP,2022-05-08 00:00:00,2023-05-08 00:00:00,6617.288235,2022-05-23: Request about product availability; 2022-05-04: Inquiry for more information on a product
129,shopper45@bestdeals.com,Germany,Standard,2022-05-09 00:00:00,2023-05-09 00:00:00,7758.443715,2022-07-27: Feedback about membership benefits
130,dealhunter5208@bestdeals.com,Canada,Premium,2022-05-10 00:00:00,2023-05-10 00:00:00,5595.30864,2022-01-24: Request about product availability; 2022-06-20: Inquiry about payment issues
131,shopper5903@shopworld.com,UK,Standard,2022-05-11 00:00:00,2023-05-11 00:00:00,2283.86331,2022-01-16: Feedback regarding order status; 2022-11-22: Inquiry about payment issues; 2022-09-14: Complaint regarding order status
132,shopper6963@bestdeals.com,UK,Standard,2022-05-12 00:00:00,2023-05-12 00:00:00,6262.043615,2022-11-27: Complaint about product availability; 2022-11-06: Complaint about delayed delivery
133,marketfan3560@eshop.com,Canada,VIP,2022-05-13 00:00:00,2023-05-13 00:00:00,5210.275427,2022-07-04: Complaint regarding order status; 2022-05-06: Request about payment issues
134,dealhunter1157@bestdeals.com,USA,VIP,2022-05-14 00:00:00,2023-05-14 00:00:00,3560.485221,2022-12-21: Inquiry about product availability
135,shopper4389@buyeasy.com,Germany,Premium,2022-05-15 00:00:00,2023-05-15 00:00:00,5433.530745,2022-06-18: Complaint about delayed delivery
136,shopper9301@shopworld.com,Germany,VIP,2022-05-16 00:00:00,2023-05-16 00:00:00,3124.666677,2022-03-26: Complaint about payment issues; 2022-03-22: Feedback about product availability; 2022-07-19: Request about payment issues
137,marketfan5757@eshop.com,Canada,Standard,2022-05-17 00:00:00,2023-05-17 00:00:00,4292.411058,2022-04-09: Complaint about delayed delivery
138,marketfan7589@shopworld.com,Australia,Standard,2022-05-18 00:00:00,2023-05-18 00:00:00,7686.343743,2022-05-28: Inquiry about membership benefits
139,dealhunter9119@bestdeals.com,UK,Standard,2022-05-19 00:00:00,2023-05-19 00:00:00,6482.315938,2022-07-28: Feedback about product availability; 2022-01-13: Complaint about product availability
140,dealhunter5763@eshop.com,USA,VIP,2022-05-20 00:00:00,2023-05-20 00:00:00,7923.193106,2022-04-11: Inquiry about membership benefits
141,marketfan5355@buyeasy.com,UK,VIP,2022-05-21 00:00:00,2023-05-21 00:00:00,6326.65632,2022-06-09: Request regarding order status; 2022-10-02: Inquiry for more information on a product; 2022-07-25: Feedback about delayed delivery
142,marketfan8221@eshop.com,Canada,Standard,2022-05-22 00:00:00,2023-05-22 00:00:00,-999,2022-04-22: Inquiry regarding order status
143,buyer8698@buyeasy.com,USA,Standard,2022-05-23 00:00:00,2023-05-23 00:00:00,3094.342237,2022-05-11: Feedback for more information on a product; 2022-07-22: Request for more information on a product; 2022-07-30: Inquiry about membership benefits
144,dealhunter3067@bestdeals.com,USA,Premium,2022-05-24 00:00:00,2023-05-24 00:00:00,6047.012753,2022-05-06: Feedback for more information on a product; 2022-10-08: Request about delayed delivery
145,buyer5020@bestdeals.com,Canada,VIP,2022-05-25 00:00:00,2023-05-25 00:00:00,8392.801126,2022-11-17: Inquiry regarding order status; 2022-02-08: Inquiry for more information on a product
146,buyer9334@bestdeals.com,Canada,Premium,2022-05-26 00:00:00,2023-05-26 00:00:00,1976.994696,2022-10-25: Feedback for more information on a product; 2022-01-23: Feedback regarding order status; 2022-12-17: Complaint about membership benefits
147,marketfan3631@eshop.com,Canada,Premium,2022-05-27 00:00:00,2023-05-27 00:00:00,1978.358408,2022-05-12: Request about payment issues
148,buyer5268@eshop.com,USA,Standard,2022-05-28 00:00:00,2023-05-28 00:00:00,3809.702868,2022-10-18: Complaint about delayed delivery; 2022-02-02: Inquiry regarding order status; 2022-03-15: Feedback about membership benefits
149,shopper2921@buyeasy.com,USA,VIP,2022-05-29 00:00:00,2023-05-29 00:00:00,5806.136116,2022-04-14: Request regarding order status
150,marketfan5577@shopworld.com,UK,VIP,2022-05-30 00:00:00,2023-05-30 00:00:00,8342.832415,2022-04-06: Inquiry regarding order status; 2022-04-03: Inquiry about product availability
151,marketfan3089@shopworld.com,USA,Premium,2022-05-31 00:00:00,2023-05-31 00:00:00,725.4097901,2022-07-20: Inquiry about product availability
152,marketfan6469@buyeasy.com,USA,Premium,2022-06-01 00:00:00,2023-06-01 00:00:00,1193.383772,2022-12-26: Complaint for more information on a product; 2022-08-06: Feedback for more information on a product
153,dealhunter9731@bestdeals.com,Australia,Standard,2022-06-02 00:00:00,2023-06-02 00:00:00,6675.317346,2022-05-14: Complaint about delayed delivery; 2022-11-05: Feedback about product availability; 2022-06-16: Inquiry about product availability
154,shopper1303@shopworld.com,USA,Standard,2022-06-03 00:00:00,2023-06-03 00:00:00,4999.117811,2022-05-31: Inquiry about delayed delivery; 2022-10-15: Feedback for more information on a product
